tipo,n,phi,cantidad_literales_backbone,cantidad_literales_positivos,cantidad_literales_negativos,porcentaje_backbone,porcentaje_positivo_backbone,porcentaje_negativo_backbone,tiempo_extraccion
uncorrelated,200,74,200,161,39,1.0,0.805,0.195,17935
uncorrelated,5000,74,5000,4044,956,1.0,0.8088,0.1912,373879
uncorrelated,100,0,100,11,89,1.0,0.11,0.89,3956
uncorrelated,100,99,100,99,1,1.0,0.99,0.01,2319
uncorrelated,500,74,500,402,98,1.0,0.804,0.196,91768
uncorrelated,10000,74,9990,8095,1895,0.999,0.8103103103103103,0.1896896896896897,1806826
uncorrelated,5000,99,5000,4996,4,1.0,0.9992,0.0008,38522
uncorrelated,50,49,50,32,18,1.0,0.64,0.36,18982
uncorrelated,5000,49,5000,3119,1881,1.0,0.6238,0.3762,466410
uncorrelated,1000,74,1000,804,196,1.0,0.804,0.196,82042
uncorrelated,50,0,50,8,42,1.0,0.16,0.84,2637
uncorrelated,10000,24,9975,4340,5635,0.9975,0.43508771929824563,0.5649122807017544,3003953
uncorrelated,10000,0,10000,854,9146,1.0,0.0854,0.9146,617276
uncorrelated,50,24,50,20,30,1.0,0.4,0.6,4130
inverse_strongly_correlated,50,24,6,0,6,0.12,0.0,1.0,170430
inverse_strongly_correlated,200,24,55,0,55,0.275,0.0,1.0,458194
inverse_strongly_correlated,100,49,24,0,24,0.24,0.0,1.0,194177
inverse_strongly_correlated,50,74,44,25,19,0.88,0.5681818181818182,0.4318181818181818,16417
inverse_strongly_correlated,500,74,459,254,205,0.918,0.5533769063180828,0.4466230936819172,185216
inverse_strongly_correlated,5000,99,4996,4968,28,0.9992,0.9943955164131305,0.005604483586869495,110074
inverse_strongly_correlated,500,99,500,497,3,1.0,0.994,0.006,29621
inverse_strongly_correlated,50,0,50,1,49,1.0,0.02,0.98,2349
inverse_strongly_correlated,200,0,200,1,199,1.0,0.005,0.995,23329
inverse_strongly_correlated,1000,0,413,0,413,0.413,0.0,1.0,1523346
inverse_strongly_correlated,1000,74,253,173,80,0.253,0.6837944664031621,0.31620553359683795,4410420
inverse_strongly_correlated,100,99,100,99,1,1.0,0.99,0.01,2136
inverse_strongly_correlated,10000,99,10000,9942,58,1.0,0.9942,0.0058,142508
inverse_strongly_correlated,500,24,216,0,216,0.432,0.0,1.0,858634
inverse_strongly_correlated,100,24,56,0,56,0.56,0.0,1.0,128732
inverse_strongly_correlated,500,0,351,0,351,0.702,0.0,1.0,154158
inverse_strongly_correlated,200,74,200,108,92,1.0,0.54,0.46,43225706
inverse_strongly_correlated,100,74,45,34,11,0.45,0.7555555555555555,0.24444444444444444,135927
inverse_strongly_correlated,200,99,200,199,1,1.0,0.995,0.005,2458
inverse_strongly_correlated,200,49,200,66,134,1.0,0.33,0.67,15569919
inverse_strongly_correlated,10000,24,2886,0,2886,0.2886,0.0,1.0,76664917
inverse_strongly_correlated,1000,49,332,0,332,0.332,0.0,1.0,3940648
inverse_strongly_correlated,1000,24,29,0,29,0.029,0.0,1.0,5684924
inverse_strongly_correlated,10000,0,7526,0,7526,0.7526,0.0,1.0,25231362
inverse_strongly_correlated,1000,99,1000,994,6,1.0,0.994,0.006,22382
inverse_strongly_correlated,5000,74,410,384,26,0.082,0.9365853658536586,0.06341463414634146,795940117
inverse_strongly_correlated,5000,0,2863,0,2863,0.5726,0.0,1.0,14035636
inverse_strongly_correlated,50,99,50,49,1,1.0,0.98,0.02,2043
inverse_strongly_correlated,100,0,100,1,99,1.0,0.01,0.99,6248
inverse_strongly_correlated,50,49,50,17,33,1.0,0.34,0.66,14213
inverse_strongly_correlated,5000,49,1613,0,1613,0.3226,0.0,1.0,31082404
bounded_strongly_correlated,500,74,182,182,0,0.364,1.0,0.0,1565530
bounded_strongly_correlated,1000,49,917,654,263,0.917,0.7131952017448201,0.28680479825517996,504026
bounded_strongly_correlated,5000,99,4097,4097,0,0.8194,1.0,0.0,13707704
bounded_strongly_correlated,10000,24,5708,2921,2787,0.5708,0.5117379117028732,0.48826208829712686,56523946
bounded_strongly_correlated,10000,99,5679,5679,0,0.5679,1.0,0.0,97650125
bounded_strongly_correlated,500,0,498,53,445,0.996,0.10642570281124498,0.893574297188755,42024
bounded_strongly_correlated,10000,74,4130,4129,1,0.413,0.9997578692493947,0.00024213075060532688,82214845
bounded_strongly_correlated,200,99,200,199,1,1.0,0.995,0.005,3122
bounded_strongly_correlated,5000,24,1930,958,972,0.386,0.49637305699481865,0.5036269430051813,20668462
bounded_strongly_correlated,50,49,26,21,5,0.52,0.8076923076923077,0.19230769230769232,101273
bounded_strongly_correlated,500,24,410,199,211,0.82,0.4853658536585366,0.5146341463414634,297754
bounded_strongly_correlated,200,0,159,8,151,0.795,0.050314465408805034,0.949685534591195,96921
bounded_strongly_correlated,100,49,87,63,24,0.87,0.7241379310344828,0.27586206896551724,36636
bounded_strongly_correlated,100,99,100,99,1,1.0,0.99,0.01,5484
bounded_strongly_correlated,5000,74,4438,4016,422,0.8876,0.9049121225777377,0.09508787742226228,6735775
bounded_strongly_correlated,1000,0,908,51,857,0.908,0.05616740088105727,0.9438325991189427,510402
bounded_strongly_correlated,5000,0,4494,207,4287,0.8988,0.04606141522029372,0.9539385847797063,4982361
bounded_strongly_correlated,50,99,50,49,1,1.0,0.98,0.02,1817
bounded_strongly_correlated,1000,99,998,998,0,0.998,1.0,0.0,25061
bounded_strongly_correlated,50,0,45,8,37,0.9,0.17777777777777778,0.8222222222222222,3855
bounded_strongly_correlated,10000,49,8555,6342,2213,0.8555,0.7413208649912332,0.2586791350087668,25341873
bounded_strongly_correlated,100,24,83,29,54,0.83,0.3493975903614458,0.6506024096385542,18407
bounded_strongly_correlated,10000,0,8978,408,8570,0.8978,0.04544441969258187,0.9545555803074182,15276537
bounded_strongly_correlated,50,24,25,10,15,0.5,0.4,0.6,78745
bounded_strongly_correlated,200,49,189,134,55,0.945,0.708994708994709,0.291005291005291,68786
bounded_strongly_correlated,50,74,34,32,2,0.68,0.9411764705882353,0.058823529411764705,25111
bounded_strongly_correlated,1000,74,499,499,0,0.499,1.0,0.0,2659067
bounded_strongly_correlated,5000,49,3238,2573,665,0.6476,0.794626312538604,0.20537368746139592,17830779
bounded_strongly_correlated,500,49,381,287,94,0.762,0.7532808398950132,0.24671916010498687,613150
bounded_strongly_correlated,200,74,109,109,0,0.545,1.0,0.0,321192
bounded_strongly_correlated,1000,24,405,199,206,0.405,0.49135802469135803,0.508641975308642,3165426
bounded_strongly_correlated,100,74,29,29,0,0.29,1.0,0.0,126167
bounded_strongly_correlated,200,24,123,66,57,0.615,0.5365853658536586,0.4634146341463415,248859
bounded_strongly_correlated,500,99,500,499,1,1.0,0.998,0.002,7175
bounded_strongly_correlated,100,0,98,17,81,0.98,0.17346938775510204,0.826530612244898,6134
avis_knapsack,200,74,200,200,0,1.0,1.0,0.0,2435
avis_knapsack,100,99,100,49,51,1.0,0.49,0.51,13653
avis_knapsack,500,99,499,499,0,0.998,1.0,0.0,5203
avis_knapsack,1000,24,998,998,0,0.998,1.0,0.0,7931
avis_knapsack,10000,0,9988,9988,0,0.9988,1.0,0.0,57990
avis_knapsack,200,99,199,199,0,0.995,1.0,0.0,3758
avis_knapsack,100,0,100,49,51,1.0,0.49,0.51,6333
avis_knapsack,10000,99,9988,9988,0,0.9988,1.0,0.0,59668
