tipo,n,phi,cantidad_literales_backbone,cantidad_literales_positivos,cantidad_literales_negativos,porcentaje_backbone,porcentaje_positivo_backbone,porcentaje_negativo_backbone,tiempo_extraccion
almost_strongly_correlated,5000,49,4970,3518,1452,0.994,0.7078470824949699,0.2921529175050302,2258484
almost_strongly_correlated,100,0,98,12,86,0.98,0.12244897959183673,0.8775510204081632,28131
almost_strongly_correlated,5000,24,4982,2474,2508,0.9964,0.49658771577679645,0.5034122842232035,1917667
almost_strongly_correlated,200,49,184,135,49,0.92,0.7336956521739131,0.266304347826087,7687055
almost_strongly_correlated,5000,74,4973,4311,662,0.9946,0.8668811582545747,0.1331188417454253,28314046
almost_strongly_correlated,10000,49,9972,7050,2922,0.9972,0.7069795427196149,0.29302045728038506,1766387
almost_strongly_correlated,5000,99,4131,4131,0,0.8262,1.0,0.0,301116007
almost_strongly_correlated,50,74,50,43,7,1.0,0.86,0.14,64943
almost_strongly_correlated,200,99,200,199,1,1.0,0.995,0.005,3059
almost_strongly_correlated,50,0,46,7,39,0.92,0.15217391304347827,0.8478260869565217,3955
almost_strongly_correlated,5000,0,4985,484,4501,0.997,0.09709127382146439,0.9029087261785356,1506259
almost_strongly_correlated,500,49,485,344,141,0.97,0.709278350515464,0.2907216494845361,414255
almost_strongly_correlated,200,0,196,18,178,0.98,0.09183673469387756,0.9081632653061225,18395
almost_strongly_correlated,500,24,483,240,243,0.966,0.4968944099378882,0.5031055900621118,29356272
almost_strongly_correlated,100,49,100,70,30,1.0,0.7,0.3,2566584
almost_strongly_correlated,1000,24,996,496,500,0.996,0.4979919678714859,0.5020080321285141,22557617
almost_strongly_correlated,200,74,190,168,22,0.95,0.8842105263157894,0.11578947368421053,1450982354
almost_strongly_correlated,100,74,92,83,9,0.92,0.9021739130434783,0.09782608695652174,254961
almost_strongly_correlated,500,99,498,498,0,0.996,1.0,0.0,9812
uncorrelated_similar_weights,500,74,500,500,0,1.0,1.0,0.0,4296
uncorrelated_similar_weights,10000,0,10000,10000,0,1.0,1.0,0.0,53034
uncorrelated_similar_weights,1000,24,1000,1000,0,1.0,1.0,0.0,6266
uncorrelated_similar_weights,100,24,100,100,0,1.0,1.0,0.0,2037
uncorrelated_similar_weights,200,24,200,200,0,1.0,1.0,0.0,2775
uncorrelated_similar_weights,200,49,200,200,0,1.0,1.0,0.0,2646
uncorrelated_similar_weights,1000,0,1000,1000,0,1.0,1.0,0.0,6480
uncorrelated_similar_weights,500,0,500,500,0,1.0,1.0,0.0,3925
uncorrelated_similar_weights,200,74,200,200,0,1.0,1.0,0.0,2658
uncorrelated_similar_weights,100,74,100,100,0,1.0,1.0,0.0,2648
uncorrelated_similar_weights,1000,49,1000,1000,0,1.0,1.0,0.0,6604
uncorrelated_similar_weights,100,99,100,100,0,1.0,1.0,0.0,2026
uncorrelated_similar_weights,500,49,500,500,0,1.0,1.0,0.0,3963
uncorrelated_similar_weights,5000,99,5000,5000,0,1.0,1.0,0.0,26121
uncorrelated_similar_weights,10000,74,10000,10000,0,1.0,1.0,0.0,48420
uncorrelated_similar_weights,500,24,500,500,0,1.0,1.0,0.0,4099
uncorrelated_similar_weights,10000,99,10000,10000,0,1.0,1.0,0.0,52530
uncorrelated_similar_weights,500,99,500,500,0,1.0,1.0,0.0,3943
uncorrelated_similar_weights,200,99,200,200,0,1.0,1.0,0.0,2656
uncorrelated_similar_weights,50,99,50,50,0,1.0,1.0,0.0,1678
uncorrelated_similar_weights,1000,99,1000,1000,0,1.0,1.0,0.0,6485
uncorrelated_similar_weights,5000,74,5000,5000,0,1.0,1.0,0.0,25869
uncorrelated_similar_weights,5000,0,5000,5000,0,1.0,1.0,0.0,26808
uncorrelated_similar_weights,5000,49,5000,5000,0,1.0,1.0,0.0,25980
uncorrelated_similar_weights,50,49,50,50,0,1.0,1.0,0.0,1596
uncorrelated_similar_weights,200,0,200,200,0,1.0,1.0,0.0,2690
uncorrelated_similar_weights,100,0,100,100,0,1.0,1.0,0.0,2069
uncorrelated_similar_weights,50,24,50,50,0,1.0,1.0,0.0,1696
uncorrelated_similar_weights,100,49,100,100,0,1.0,1.0,0.0,1998
uncorrelated_similar_weights,10000,24,10000,10000,0,1.0,1.0,0.0,52961
