epoch,time,partition,loss,accuracy_macro,accuracy_micro,f1_score_macro,f1_score_micro,precision_macro,precision_micro,retrieval_precision_0.10,retrieval_precision_0.20,retrieval_precision_0.30,retrieval_precision_0.40,retrieval_precision_0.50,retrieval_precision_0.60,retrieval_precision_0.70,retrieval_precision_0.80,retrieval_precision_0.90,confusion_matrix_cm_B0_B0,confusion_matrix_cm_B0_B1,confusion_matrix_cm_B0_NB,confusion_matrix_cm_B1_B0,confusion_matrix_cm_B1_B1,confusion_matrix_cm_B1_NB,confusion_matrix_cm_NB_B0,confusion_matrix_cm_NB_B1,confusion_matrix_cm_NB_NB,multiclass_accuracy_B0,multiclass_accuracy_B1,multiclass_accuracy_NB,multiclass_f1_score_B0,multiclass_f1_score_B1,multiclass_f1_score_NB,multiclass_precision_B0,multiclass_precision_B1,multiclass_precision_NB,multiclass_recall_B0,multiclass_recall_B1,multiclass_recall_NB
0,82.2289445400238,train,0.9449873626793462,0.39690014448076083,0.5910640753613747,0.287398766884939,0.5910640755313041,0.2573181770494814,0.5910640753613747,0.4686262820960527,0.4376940644456015,0.4026595578486664,0.38261698118367565,0.3587555394401156,0.33804273225352405,0.3178177144327342,0.3013922002342023,0.2864007469274413,0.0,0.0,0.205857416667659,0.0,0.0,0.2030785078271944,0.0,0.0,0.5910640753613747,nan,nan,1.0,0.0,0.0,0.6769034043563245,0.0,0.0,0.5910640753613747,0.0,0.0,1.0
0,2.512890100479126,valid,0.8679911360144615,0.3950000071525574,0.6002127450704574,0.2879879620205611,0.6002127464488148,0.25783326668664813,0.6002127450704574,0.49575149312149736,0.45379590197931974,0.45551693307235835,0.4433599342405796,0.4144718679599464,0.3839785584900528,0.36250079891644416,0.3477422522287816,0.33247658181004225,0.0,0.0,0.19826694966701325,0.0,0.0,0.20152030494995415,0.0,0.0,0.6002127450704574,nan,nan,1.0,0.0,0.0,0.6856170318834484,0.0,0.0,0.6002127450704574,0.0,0.0,1.0
1,82.8391695022583,train,0.8664148875795581,0.47045935405360173,0.5871020491296146,0.3298835330931914,0.5871020498487995,0.3856754454393806,0.5871020491296146,0.5197314313167362,0.489397783779432,0.4642480481387894,0.43718584554148354,0.40883850829296947,0.3823645672522249,0.36262692611369146,0.34700356265616666,0.3322190391672425,0.026679429124197015,0.0002475393899174307,0.17893044833608157,0.00371483091096644,0.019809368677156238,0.1795543083443611,0.029907758181897625,0.020543066024125704,0.5406132514247546,nan,nan,0.9233092816854624,0.13797644872792292,0.10590887975124198,0.6586655787089984,0.24541064844037264,0.2190668245743502,0.6034880896556145,0.18703513662317103,0.11477155601658533,0.9233092816854624
1,2.4478437900543213,valid,0.8543972057104111,0.4647885084152222,0.6075041463598609,0.30531681410968303,0.6075041441246867,0.41156303852796555,0.6075041463598609,0.4979060117853805,0.4557349382439861,0.4292782795894891,0.4064466594159603,0.39263099049218,0.3747044053673744,0.3590692682657391,0.34469836657866837,0.32848102257587014,0.019736588554806075,0.0,0.17853036319254897,0.00010994815966114402,0.0,0.20141035703010857,0.012445185959804803,0.0,0.5877675601094962,nan,nan,0.9847635906934739,0.21584238272160292,0.0,0.6853522162139416,0.6122917910665273,0.0,0.6073973146732896,0.2310907618328929,0.0,0.9847635906934739
2,82.92832636833191,train,0.8514355124797169,0.5233282971866275,0.5977619894340115,0.3682650423023492,0.5977619896379268,0.5460592682696462,0.5977619894340115,0.5587592603011948,0.5014228135634259,0.47301703148496543,0.4414657534927082,0.4104631093912655,0.3855288545738452,0.3690776471632554,0.35259968443312756,0.337543363844607,0.028763610050053772,9.138146749729967e-05,0.1770024253699626,0.0020874673057590235,0.03022933937652877,0.17076170112471034,0.0262977360547882,0.025997299359904733,0.5387690401435952,nan,nan,0.9215457125217722,0.20035059392789906,0.20644630659127683,0.6627609277138388,0.4589475962212649,0.5293477654016235,0.6089003488132697,0.2508361070998465,0.1998238470669827,0.9215457125217722
2,2.497404098510742,valid,0.8191866445541381,0.4771451625227928,0.6144307348877192,0.377594371214509,0.6144307396560907,0.46680142551660536,0.6144307348877192,0.5628148244693876,0.5372681160271168,0.49881528889760374,0.46333416348323225,0.4242550602927804,0.39416967348195614,0.3758146293181926,0.3584730432461947,0.34181259135715664,0.0,0.0,0.19826694966701325,0.0,0.036880681589245796,0.16463962265988813,0.0,0.0226626927574398,0.577550054192543,nan,nan,0.9728712201118469,0.0,0.2898101782798767,0.6854322985000908,0.0,0.6190495052933693,0.6141051156911999,0.0,0.24624718189239503,0.9728712201118469
3,82.92113971710205,train,0.8402338978681514,0.5511309272791092,0.6050744833859926,0.401507056984237,0.6050744831744032,0.5523847888205737,0.6050744833859926,0.5892132902667289,0.5193961570582755,0.48223186216845815,0.45051116742424063,0.42061024754958215,0.3956157131449253,0.37607195145759764,0.3595787040839278,0.3438055971576814,0.025544011915974038,0.00027391335787100847,0.1800394918950542,0.0017719669813124968,0.04928033376006751,0.1520262068042832,0.022995772361625526,0.037818165698853455,0.5302501374843064,nan,nan,0.90591501401301,0.17000165390916358,0.32359114680792794,0.6625695451056344,0.35352764556745175,0.6374466008791895,0.6150989502509603,0.20512619248650016,0.32968155668405436,0.90591501401301
3,2.42872953414917,valid,0.7988765126466751,0.6198303857445717,0.626039108633995,0.455048999786377,0.6260391071438789,0.619743584394455,0.626039108633995,0.6253588516265154,0.5582212162390351,0.5152489070780575,0.47081741396337745,0.4385547082684934,0.41308080186136065,0.3911067386996001,0.37054840601049366,0.3533682222943753,0.07095239491609391,0.0,0.12731455625034868,0.004575566693674773,0.03776192108169198,0.1591828168334905,0.06832829063991085,0.01455966075998731,0.5173247948102653,nan,nan,0.8963163083791733,0.34442148133181033,0.34561340980231764,0.6751121161319316,0.4937793167680502,0.7218279016017913,0.6436235277075321,0.44590433180332184,0.3095855084061623,0.8963163083791733
4,82.34866309165955,train,0.8020246361303919,0.6371196411405331,0.6228685703209704,0.4490249318527326,0.6228685704196391,0.6264682222879094,0.6228685703209704,0.6746565931132135,0.579157049156544,0.5294274602174017,0.48687563249581645,0.4531308580652967,0.42631814590608813,0.4024020306338092,0.38082964665898406,0.361469964807572,0.03351883336878471,0.0010563529120114637,0.17128223071687182,0.002188844089503189,0.06405233523376984,0.13683732827560446,0.0309500714578764,0.034816602208152296,0.5252974017524017,nan,nan,0.9043393489839471,0.22989924742279463,0.4364992975894024,0.6696757506605884,0.507828200312294,0.7290535177719963,0.6316216290115297,0.2858835381234811,0.47835947664343853,0.9043393489839471
4,2.4407548904418945,valid,0.7556105756759643,0.6692635440826415,0.649171354919672,0.48685246750712396,0.6491713580489159,0.6643581134080887,0.649171354919672,0.7355766726285219,0.6202121337130666,0.5636335233412683,0.5154362407699228,0.47697076087817547,0.44646960326470436,0.4206606774497777,0.39685229762457314,0.3745644145924598,0.040351600734866225,0.0001209188555367291,0.15779443172505125,0.001741626324437675,0.05521226664073765,0.1445664110191865,0.03450316404108889,0.012102090030675755,0.5536074889823794,nan,nan,0.9401258873939514,0.2696150290966034,0.4962031273543835,0.6947392424382269,0.5276501529756934,0.8186638278514147,0.6467603570315987,0.3240288098156452,0.4897122534364462,0.9401258873939514
